sms_id,sms_text,class
0,Will purchase d stuff today and mail to you. Do you have a po box number?,benign
1,I love working from home :),benign
2,Should i send you naughty pix? :),benign
3,DO U WANT 2 MEET UP 2MORRO,benign
4,Pls speak with me. I wont ask anything other then you friendship.,benign
5,I dont thnk its a wrong calling between us..hope u understand,benign
6,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,benign
7,Actually i'm waiting for 2 weeks when they start putting ad.,benign
8,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,benign
9,"Nationwide has noticed your debit card was recently used on 25-10-2015 13.04.43, at APPLE ONLINE STORE for 1976.00 GBP. If not you please urgently call fraud preventaion on 03303800232 or intl +443303800231. Do not reply by SMS http://www.Nationwide.co.uk/",smishing
10,K...k...when will you give treat?,benign
11,"Due to the pandemic, Netflix is giving everyone a free 1-year subscription to help you stay at home. Get yours here mi08w.com/2kbKsPoeVQ 16:53",smishing
12,This weekend is fine (an excuse not to do too much decorating),benign
13,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,benign
14,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",benign
15,"sorry brah, just finished the last of my exams, what up",benign
16,Be sure to check your yahoo email. We sent photos yesterday,benign
17,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",smishing
18,Chase Alert (SM):We noticed unusual activities on your account.Visit chaselocked.com/web to verify the activities. Reply STOP to stop.Msg & data rates may apply.,smishing
19,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",benign
20,"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8536074310 Now! ",smishing
21,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" ",benign
22,"Ya tel, wats ur problem..",benign
23,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take Care?",benign
24,My name is Theresa & I have 7.3milion Dollar to transfer to you for charity work to help the poor ones in ur place india. Contact memea.theresamarie@gmail.com,smishing
25,"When you get free, call me",benign
